actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.0718885213136673,-0.07076693326234818
-0.07375572621822357,-0.07684704661369324
-0.07562292367219925,-0.09037534147500992
-0.08231135457754135,-0.08880703896284103
-0.08627808094024658,-0.15257468819618225
-0.0882614403963089,-0.13686826825141907
-0.09123647958040237,-0.13267186284065247
-0.09851530194282532,-0.24369841814041138
-0.10249559581279755,-0.2244843691587448
-0.10747094452381134,-0.2381323277950287
-0.11344131827354431,-0.29317915439605713
-0.11841660737991333,-0.2500925362110138
-0.12584461271762848,-0.21651843190193176
-0.13289155066013336,-0.17618247866630554
-0.14597854018211365,-0.3382175862789154
-0.15403196215629578,-0.26287296414375305
-0.16309194266796112,-0.29826512932777405
-0.15489612519741058,-0.31923753023147583
-0.16214215755462646,-0.13485132157802582
-0.16938813030719757,-0.29400837421417236
-0.17663399875164032,-0.3084237277507782
-0.1838797926902771,-0.32868847250938416
-0.19743956625461578,-0.32708248496055603
-0.20496012270450592,-0.41264012455940247
-0.2124805897474289,-0.3617229461669922
-0.21812087297439575,-0.37341809272766113
-0.22470109164714813,-0.37837693095207214
-0.22936350107192993,-0.3727492392063141
-0.24119369685649872,-0.3960946798324585
-0.24574369192123413,-0.389137327671051
-0.26237788796424866,-0.3944788873195648
-0.2671300768852234,-0.53328937292099
-0.27093181014060974,-0.42005062103271484
-0.2756839096546173,-0.4156869053840637
-0.2794855535030365,-0.435966432094574
-0.2832871675491333,-0.42871034145355225
-0.311274915933609,-0.4323936700820923
-0.3153965175151825,-0.7247357368469238
-0.3184877038002014,-0.4854539930820465
-0.3195180892944336,-0.47651565074920654
-0.3195180892944336,-0.4577144384384155
-0.26082804799079895,-0.4473254680633545
-0.26082804799079895,0.22397471964359283
-0.26082804799079895,-0.36515945196151733
-0.26082804799079895,-0.36515945196151733
-0.26082804799079895,-0.36515945196151733
-0.24041633307933807,-0.36515945196151733
-0.24041633307933807,-0.126662477850914
-0.2396358996629715,-0.33658304810523987
-0.23807501792907715,-0.33549046516418457
-0.30644071102142334,-0.30045267939567566
-0.3033873438835144,-1.1145460605621338
-0.1999959945678711,-0.3935825526714325
-0.19796237349510193,0.7553145289421082
-0.19525088369846344,-0.25701281428337097
-0.19321726262569427,-0.24671195447444916
-0.18482241034507751,-0.2497456669807434
-0.18221034109592438,-0.1752459853887558
